Provider_Name,Contacts,Category,Speciality,Physical Address,County,Coordinates,Latitude,Longitude,Exact_Location
Dental Doc services limited ,0202095536/0722818700,Specialist,Dentist,"Samaj Building, Muhoho avenue, Nairobi west ",Nairobi,"(-1.3098333, 36.8223157)",-1.3098333,36.8223157,Nairobi West
Dental Health Providers,"+254 714 2540053, 722 520 455",Specialist,Dentist,"Karen Professional Centre, Karen road",Nairobi,"(-1.3278307, 36.7175463)",-1.3278307,36.7175463,Karen
Dental Health Providers Ltd,0714254053/0713323227,Specialist,Dentist,"Menelik Road , Menelik Hospital Karen Proffession Centre- Karen Road",Nairobi,"(-1.3278307, 36.7175463)",-1.3278307,36.7175463,Karen
DentalÂ SmilesÂ forÂ Kids,0706 575 276/ 0738066568,Specialist,Dentist,"One Padmore Place, 14th Floor, Wing A,George Padmore Road, off Marcus Garvey/Kindaruma Rd",Nairobi,"(-1.2963412, 36.7913972)",-1.2963412,36.7913972,Kilimani
Dentmind Dental Centre - Buru Buru Branch,0700468228/0736456300,Specialist,Dentist,"Fairlane Building, Buru Buru Shopping Centre",Nairobi,"(-1.2922481, 36.8815479)",-1.2922481,36.8815479,Buruburu
Diaries Dental,0791 505947,Specialist,Dentist,Opposite Mlolongo primary next to sanel hospital Machakos Kenya,Nairobi,"(-1.4094161, 36.9490087)",-1.4094161,36.9490087,Mlolongo
Dr Nizar Jaffareli Verjee,0736707498/0724295094,Specialist,Dentist,1st floor Nairobi Hilton,Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Nairobi CBD
Dr Susan Maina,797707387,Specialist,Dentist,"Reinsurance Plaza, Aga Khan Walk",Nairobi,"(-1.2871796, 36.8246068)",-1.2871796,36.8246068,Nairobi CBD
Dr.  Heena Vaghela Dental Clinic,722687947,Specialist,Dentist,"Mpaka House, Woodwale grove, Westlands. Northwing, 1st floor on the right side.",Nairobi,"(-1.264575, 36.8044889)",-1.264575,36.8044889,Westlands
Dr. B. J. Nathwani ( Muthaiga Dental Care),020-4040293/ 0735026299,Specialist,Dentist,"Muthaiga shopping centre, Limuru rd.",Nairobi,"(-1.2505146, 36.8198515)",-1.2505146,36.8198515,Muthaiga
Dr. Doris N. Mbugua ,733600667,Specialist,Dentist,UpperHill Medical Centre Suite 4D,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Dr. Kasi Majani,2715238,Specialist,Dentist,"4th floor suite 413, Medicare plaza, Hurlingham",Nairobi,"(-1.2960508, 36.8072381)",-1.2960508,36.8072381,Hurlingham
Dr. L. K. Wanyama - Dent Options,0735349515/ 0772349515/ 0722349515,Specialist,Dentist,Room B4 3rd Floor Prof. Nelson Awori Centre,Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Dr. L. K. Wanyama - Dent Options,722858879,Specialist,Dentist,Kugeria Court No. 12 Ralph Bunche Road,Nairobi,"(-1.294212, 36.8073518)",-1.294212,36.8073518,Upperhill
Dr. Musima &  Associates Ltd,0724951395/0202363130,Specialist,Dentist,"PROF. Nelson Awor Centre,Ralph Bun",Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Dr. Nelson Matu,0722793909/ 0202715230,Specialist,Dentist,Suite 204 2nd Floor KMA Centre,Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Dr. Nira Patel,0725526047 / 0732690149 / 2722877 / 2712866,Specialist,Dentist,Upper Hill Medical Centre,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
"Dr.Nicholas Njuguna(Newsmile Family Dentistry),(Embakasi Road )",0743 075188,Specialist,Dentist,Embakasi Road ,Nairobi,"(-1.3082359, 36.9113111)",-1.3082359,36.9113111,Embakasi
Elephant Dental Ltd- Embakasi,0727 771 671,Specialist,Dentist,"Mig Plaza,Nyayo Estate, Gate B, Embakasi",Nairobi,"(-1.3078617, 36.9032857)",-1.3078617,36.9032857,Embakasi
Elephant Dental Ltd- Garden City,0714986528/0703222228,Specialist,Dentist,"Garden City Mall 3rd floor, Along Thika Rd.",Nairobi,"(-1.2324833, 36.8787799)",-1.2324833,36.8787799,Kasarani
Elephant Dental Ltd- Githurai 45 ,0714 841 801,Specialist,Dentist,Githurai 45 stage,Nairobi,"(-1.2064151, 36.913794)",-1.2064151,36.913794,Githurai
Elephant Dental Ltd -Kasarani (Dr. Monica Njeri),718878693,Specialist,Dentist,Kasarani Plaza 1st Floor,Nairobi,"(-1.2182412, 36.8967383)",-1.2182412,36.8967383,Kasarani
Elephant Dental Ltd- Komarock,0703 405 243,Specialist,Dentist,Komarock Plaza 1st Floor,Nairobi,"(-1.2684944, 36.9084173)",-1.2684944,36.9084173,Komarock
Elephant Dental Ltd- Langata,0711 256 747/0728 505 046,Specialist,Dentist,"Jamhuri Heights, Ground Floor",Nairobi,"(-1.3215366, 36.7993668)",-1.3215366,36.7993668,Langata
Elephant Dental Ltd-South C,0737 373 162,Specialist,Dentist,Kenol Kobil South C Petrol Station Bld 1st Floor,Nairobi,"(-1.3222736, 36.8288933)",-1.3222736,36.8288933,South C
Elite Dental Clinic,0722996212/0734654665,Specialist,Dentist,Lavington mall 3rd floor along james gichuru road,Nairobi,"(-1.2799559, 36.7702275)",-1.2799559,36.7702275,Lavington
Executive Dental Centre (Dr. Oyugi David),0728632498/ 0722836889,Specialist,Dentist,"Standard Street, Lonrho House 12th floor",Nairobi,"(-1.2850343, 36.8226225)",-1.2850343,36.8226225,Nairobi CBD
Family health dental clinic ,0718501426/0733219208,Specialist,Dentist,Mai-Mahiu road ,Nairobi,"(-1.3122826, 36.8191869)",-1.3122826,36.8191869,Langata
Fine Touch Dental Care,0716752136/ 0732280107,Specialist,Dentist,"7th Floor 5th Avenue Suites, 5th Ngong Avenue",Nairobi,"(-1.2961196, 36.8081259)",-1.2961196,36.8081259,Upperhill
Galana Dental Centre ,0794590159/0101020990,Specialist,Dentist,"Door B7, 4th flooor Wu Yi Plaza Galana Road Kilimani ",Nairobi,"(-1.2892786, 36.7869311)",-1.2892786,36.7869311,Kilimani
Gentle Dentall Care Clinic ( Dr. Jane O. Oloo),0722722043/0722403340/0202219054,Specialist,Dentist,Queensway House 3nd Floor Kaunda Street Nairobi,Nairobi,"(-1.2851031, 36.8234647)",-1.2851031,36.8234647,Nairobi CBD
Gobind Dental Clinic Limited ( Dr. Nizar Verjee),734241030,Specialist,Dentist,"Kenyatta Avenue, Building: I & M Tower",Nairobi,"(-1.2846464, 36.8199579)",-1.2846464,36.8199579,Nairobi CBD
Highview Dental Clinic,722654340,Specialist,Dentist,"room 304, 3rd floor, Hurlingham Medicare plaza, Argwings Khodek rd, Nairobi",Nairobi,"(-1.294389, 36.7984859)",-1.294389,36.7984859,Hurlingham
House of Dentistry Limited,0700654317/0733654317,Specialist,Dentist,The Mall Westlands 2nd Floor,Nairobi,"(-1.2643982, 36.80279549999999)",-1.2643982,36.8027955,Westlands
"Iris Dental clinic (Southfield mall,1st floor Next to Nakumatt cabanas along North airport road)",0703 140800/0733 300860,Specialist,Dentist,"Southfield mall,1st floor Next to Nakumatt cabanas along North airport road",Nairobi,"(-1.3285167, 36.8904553)",-1.3285167,36.8904553,Cabanas
Ivory Dental Care Limited,0786155955/0723349504,Specialist,Dentist,Centenary House 4th floor Block D Ring Road Westlands,Nairobi,"(-1.2667001, 36.8015556)",-1.2667001,36.8015556,Westlands
Jasmine Dental ,112297151,Specialist,Dentist,"Gateway Place, Milimani Rd, Nairobi",Nairobi,"(-1.2897723, 36.8058058)",-1.2897723,36.8058058,Upperhill
Jesus is the answer Dental Clinic,0204401679/0722327475/0734076171,Specialist,Dentist,"National BankBuilding, Harambee Avenue 2nd floor, south podium",Nairobi,"(-1.2889222, 36.8233977)",-1.2889222,36.8233977,Starehe
Jolynn Dental Clinic,0710945746/0791536403,Specialist,Dentist,Olive Business Centre Opposite Nairobi Womens kitengela,Nairobi,"(-1.5167072, 36.849996)",-1.5167072,36.849996,Kitengela
Karen Dental clinic- Karen ,0700720300/0733732332,Specialist,Dentist,Karen shopping centre: Above Karen provisional store-off Langata road ,Nairobi,"(-1.3233446, 36.7069477)",-1.3233446,36.7069477,Karen
Kilimani Dental Centre Clinic Limited,723781369,Specialist,Dentist,kilimani.dental@yahoo.com/ info@kilimanidental.co.ke ,Nairobi,"(-1.2892786, 36.7869311)",-1.2892786,36.7869311,Ngong Road
Lavington Dental Services ,0532061795/ 0727536767/ 0705093634/ 0722583296,Specialist,Dentist,Barngetuny Plaza 1st Floor room 8,Nairobi,"(0.5170262999999999, 35.2778077)",0.5170263,35.2778077,Eldoret
Lavington Green Dental Suite Limited,0706820099/0720774844/0723711130,Specialist,Dentist,"Lavington mall 3rd floor, Suite 301. along james gichuru road",Nairobi,"(-1.2799559, 36.7702275)",-1.2799559,36.7702275,Lavington
Legacy Dental Clinic ,713730796,Specialist,Dentist,"Royal Plaza, Lumumba drive, Roysambu ",Nairobi,"(-1.215376, 36.8861822)",-1.215376,36.8861822,Roysambu
Lotus Dental Practice ,792764916,Specialist,Dentist,"Soham petrol Station, Syokimau, Mombasa Rd - Nairobi ",Nairobi,"(-1.3592272, 36.9379845)",-1.3592272,36.9379845,Syokimau
Millenium Dental Services,0728500120/0202846445,Specialist,Dentist,Nairobi Hospital Doctors Plaza 3rd Floor Room 311,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Moonlight Dental Centre,0740409710/0204400282,Specialist,Dentist,"Suits-Jabavus A3,Silverpool office suits, Jabavu Lane - Hurlingham",Nairobi,"(-1.2936606, 36.7970826)",-1.2936606,36.7970826,Hurlingham
Mothersmile Dental Care,3871783/ 0733914943/ 0721693025,Specialist,Dentist,"Kirichwa road, off Ngong road ",Nairobi,"(-1.2994605, 36.7906854)",-1.2994605,36.7906854,Kilimani
My Dentist Entreprises ,0771669006/0777669006,Specialist,Dentist,"Hurlingham Chaka court Suite 5 Nairobi, Mombasa Jubilee Arcade 2nd floor number 28",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Hurlingham
Neo Smile Dental centre Ltd,,Specialist,Dentist,"MIG Plaza, 1st Floor, Nyayo Embakasi",Nairobi,"(-1.3078617, 36.9032857)",-1.3078617,36.9032857,Embakasi
Newsmile Family Dentistry,720326097,Specialist,Dentist,"Embakasi Rd, Nairobi",Nairobi,"(-1.3082359, 36.9113111)",-1.3082359,36.9113111,Embakasi
Nomad Dental centre (Kenya cinema plaza 5th floor),0738 171377,Specialist,Dentist,Kenya cinema plaza 5th floor,Nairobi,"(-0.023559, 37.906193)",-0.023559,37.906193,Gatunga
Nomad Healthcare Dental Centre,731367734,Specialist,Dentist,Thika road mall (TRM),Nairobi,"(-1.2195761, 36.88842440000001)",-1.2195761,36.8884244,Thika road
Orthomax Dental centre,727725617,Specialist,Dentist,"Kose Heights, Argwings Kodhek Groove.",Nairobi,"(-1.2948583, 36.7978664)",-1.2948583,36.7978664,Hurlingham
Prestige Dental Services ( Dr. Mary Osiyo),0722833910/0723762870,Specialist,Dentist,"Dovenest House, Opposite Timau Plaza, Argwings Kodhek Grove, Off Argwings Kodhek Road, Nairobi",Nairobi,"(-1.292222, 36.7901556)",-1.292222,36.7901556,Hurlingham
Prestige Dental Services Limited,0710174393 / 0722833910,Specialist,Dentist,"Fortis Suites Management Hospital Road , Opposite Nairobi club",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Prime Care Dental Associates LTD,0722653683/0722400550,Specialist,Dentist,Upper Hill KMA Centre 2nd Rm 205,Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Procare Dental Services,0722517764/ 020 2725353,Specialist,Dentist,Forte Granite Flats B5 Bishop road Behind the Chancery Next to Loresho Valley Road School,Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Progressive Dental Care Ltd,0718770031/ 0722295085,Specialist,Dentist,Queensway House 2nd Floor Kaunda Street Nairobi,Nairobi,"(-1.2851031, 36.8234647)",-1.2851031,36.8234647,Nairobi CBD
"Reign Dental Clinic (Dr. Richard Omoso),(Trance tower, ground floor, room 2,South B, Tsavo road)",0703 592 444/ 727 295 101,Specialist,Dentist,"Trance tower, ground floor, room 2,South B, Tsavo road",Nairobi,"(-1.310341, 36.8337368)",-1.310341,36.8337368,South B
Reign dental Services,703592444,Specialist,Dentist,"Trance Towers, South B, Nairobi",Nairobi,"(-1.3090232, 36.8307221)",-1.3090232,36.8307221,South B
"Rose Avenue, Hurlingham ",731609078,Specialist,Dentist,"Rose Avenue, Hurlingham ",Nairobi,"(-1.2929917, 36.7952526)",-1.2929917,36.7952526,Hurlingham
Royal Smiles Dental Clinic-Eastlands,0712174510/0723799316,Specialist,Dentist,"Komarocks Road, Dandora, Wamwaris building, 1 st Floor Office",Nairobi,"(-1.261081, 36.887801)",-1.261081,36.887801,Dandora
Royal Smiles Dental Clinic-Embakasi,726354884,Specialist,Dentist,"Outering road, Near Total Fedha Station (Pipeline), Somo Plaza, Ground Floor",Nairobi,"(-1.3177557, 36.8963871)",-1.3177557,36.8963871,Pipeline
Royal Smiles Dental Clinic-Garden City,"0795803669
",Specialist,Dentist,"Thika Road, Garden City, Business Park 1st Floor",Nairobi,"(-1.2356242, 36.8745209)",-1.2356242,36.8745209,Kasarani
Royal Smiles Dental Clinic-Nextgen Mall,757914088,Specialist,Dentist,"Mombasa Road, NextGen Mall 1st Floor, Suite 38",Nairobi,"(-2.7316802, 38.2171862)",-2.7316802,38.2171862,Ruaka
Royal Smiles Dental Clinic-Ruaka,0708042681 / 0732685292,Specialist,Dentist,"Ruaka Square Mall 4th Floor, Room 409 -NAIROBI",Nairobi,"(-1.2062632, 36.7845595)",-1.2062632,36.7845595,Ruaka
Royal Smiles Dental Clinic-Yaya Centre,745554625,Specialist,Dentist,"Along Argwings Kodhek road, Wood Avenue Plaza, 5th Floor",Nairobi,"(-1.2922443, 36.7858888)",-1.2922443,36.7858888,Hurlingham
Ruby Smiles Dental Clinic,748877562,Specialist,Dentist,"Hombe road, off Juja road, Opposite Don Bosco Highschool",Nairobi,"(-1.2723868, 36.8405207)",-1.2723868,36.8405207,Pangani
Shine Dental Clinic (Dr Irungu),710860006,Specialist,Dentist,"Jogoo Road Plaza next to United Energy petrol station, Jogoo road",Nairobi,"(-1.2976451, 36.8711364)",-1.2976451,36.8711364,Jogoo Road
Smart smile dental care clinics ,722223195,Specialist,Dentist,"KTDA plaza, 4th floor, moi avenue",Nairobi,"(-1.2865228, 36.8268237)",-1.2865228,36.8268237,Nairobi CBD
Smile Africa(Dr Sunil Vinayak ),0729500800/0733500800,Specialist,Dentist,"Spring valley business park, westlands Nairobi Kenya ",Nairobi,"(-1.2692028, 36.8099046)",-1.2692028,36.8099046,Westlands
Smile Solutions ,0729389947/0721551482,Specialist,Dentist,"51727, Nairobi Kenya (GPS)",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Nairobi
Smilecare Dental & Maxillofacial,713802655,Specialist,Dentist,"KMA Centre Suite 211, Upperhill",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
South B Dental Centre,791893108,Specialist,Dentist,"Rubis Petrol Station, South B, Along Mukenia road",Nairobi,"(-1.3092203, 36.8337427)",-1.3092203,36.8337427,South B
Star dental clinics ltd,0716127644/0717123440,Specialist,Dentist,"Silver pool offices suites, Jabavu lane ",Nairobi,"(-1.29352, 36.7969083)",-1.29352,36.7969083,Hurlingham
Supreme Dental Ltd,0202400705/ 0724326600,Specialist,Dentist,5th Floor Standard Building Wabera Street,Nairobi,"(-1.2851294, 36.8217156)",-1.2851294,36.8217156,Nairobi CBD
Taji Dental Clinic Limited,0759212482/0725448490,Specialist,Dentist,"Muind Mbingu Street, Nairobi, 2nd floor Ecobank Towers. ",Nairobi,"(-1.285743, 36.821118)",-1.285743,36.821118,Nairobi CBD
The Westside Dental Practise,071943350/0733704287,Specialist,Dentist,"3rd Floor Ukay Centre Mwanzi road, Westlands Nairobi.",Nairobi,"(-1.2577099, 36.8035402)",-1.2577099,36.8035402,Westlands
Upper hill dental Centre ,0710569959/ 0736579375,Specialist,Dentist,"Professor Nelson Awori Centre - Ralph Bunche Road, Nairobi ",Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Urban smiles,0796198877/ 0765957795,Specialist,Dentist,"3rd floor, Pacific crest Building, Mombasa road",Nairobi,"(-2.7316802, 38.2171862)",-2.7316802,38.2171862,Syokimau
Vimak Dental Care ,720285819,Specialist,Dentist,"ICEA building, Kenyatta avenue, 2nd floor ",Nairobi,"(-1.284296, 36.8210321)",-1.284296,36.8210321,Nairobi CBD
Dr. John Muithe Maimba,0721642988/ 0772699753,Specialist,Dermatologist,Upperhill Medical Centre 5th Floor Suite 5A,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Upperhill
Dr. Wairimu Imalingat,713168580,Specialist,Dermatologist,"Prof. Nelson Awori, Ralph Bunche Rd",Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Charles Muthii Muriithi,0722810373/0202737988(7)/0720237558,Specialist,ENT Surgeon,BEN-AMMI medical centre,Nairobi,"(-1.29463, 36.812679)",-1.29463,36.812679,Upperhill
Dr Rachel Gachambi Mwangi/Dr Maria Muthoka/Diamond ENT Clinic (Medicare Plaza- Argwings Kodhek Road- Hurlinghum),0799 023059,Specialist,ENT Surgeon,Medicare Plaza- Argwings Kodhek Road- Hurlinghum,Nairobi,"(-1.2924942, 36.7884358)",-1.2924942,36.7884358,Hurlingham
Dr. Elaine Yuko Clinic (Medicare Plaza- Argwings Kodhek Road- Hurlinghum),0799 023059/0720 458140,Specialist,ENT Surgeon,Medicare Plaza- Argwings Kodhek Road - Hurlinghum,Nairobi,"(-1.2924942, 36.7884358)",-1.2924942,36.7884358,Hurlingham
Dr. Henry Nyawanda,721381581,Specialist,ENT Surgeon,Road- Hurlinghum,Nairobi,"(-1.2924942, 36.7884358)",-1.2924942,36.7884358,Hurlingham
Dr. Irungu Ndirangu,0735400095/ 0721406654,Specialist,ENT Surgeon,Upperhill Medical Centre 5th Floor,Nairobi,"(-1.29475, 36.806605)",-1.29475,36.806605,Hurlingham
DR. J N. Muiru,0723061317/0737298045/0208078675,Specialist,ENT HEAD and Neck Surgeon,IPS Building Kimathi Street,Nairobi,"(-1.284634, 36.8234924)",-1.284634,36.8234924,Nairobi CBD
Dr. John Ndungu Muiru,0723061317/ 0737298045/ 020807675,Specialist,ENT Surgeon,IPS Building Kimathi Street,Nairobi,"(-1.284634, 36.8234924)",-1.284634,36.8234924,Nairobi CBD
Dr. Kipingor (Hurlingham ENT),0728224194/ 0772301008,Specialist,ENT Surgeon,1st Floor GA Insurance Building,Nairobi,"(32.1574351, -82.90712300000001)",32.1574351,-82.907123,McRae-Helena
Dr. Peter Mugwe ,0202715919/0202846443,Specialist,ENT HEAD and Neck Surgeon,The Nairobi hospital doctors plaza suite ,Nairobi,"(-1.2958427, 36.8033858)",-1.2958427,36.8033858,Upperhill
Dr. Ranjana Sonigra,0774136549/ 0710922569/ 0739262455,Specialist,ENT Surgeon,Hurlinghum Medicare Plaza 3rd floor suite 3,Nairobi,"(-1.2924942, 36.7884358)",-1.2924942,36.7884358,Hurlingham
Hope ENT Centre - Magharibi Place ,0202210634/0729807850,Specialist,ENT Surgeon,"Magharibi Place (Opp. T- Mall) , Block C, Suite 1C8, Mai Mahiu Road - Nairobi ",Nairobi,"(-1.3119171, 36.8195529)",-1.3119171,36.8195529,Langata
Hurlingham ENT Clinic,0728224194/0772301008,Specialist,ENT Surgeon,Ralph Bunche Rd 1st floor,Nairobi,"(-1.2946419, 36.8062612)",-1.2946419,36.8062612,Hurlingham
Nairobi ENT Clinic,0721391465/ 0733633667/ 0202720480,Specialist,ENT Surgeon,Nairobi Hospital Anderson Building 5th Floor,Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Upperhill
"Prodigy Medical Services - Dr Wahome Karanja, Dr Gakuo karuga","0722279159/0202302732,/0721 
445268",Specialist,ENT Surgeon,"KMA centre, 3rd floor, room 311 - Nairobi",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Digestive Health & Endoscopy,0736 443 383/0722-524328,Specialist,Gastroenterologist,Green House Adams Arcade,Nairobi,"(-1.3003353, 36.7804253)",-1.3003353,36.7804253,Ngong Road
Upperhill Gastroentology ltd (Dr Edna Kamau),722649187,Specialist,Gastroenterologist,Fortis-Suites 309 ,Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Dr. Edwin Otieno,721210721,Specialist,General Surgeon,Prof. Nelson Awori Hospital 2nd floor ,Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Dr. John K. N. Kariuki,0722582548/ 2720726,Specialist,General Surgeon,Nairobi Hospital Doctors Plaza 3rd Floor Room 301,Nairobi,"(-1.2958727, 36.8033705)",-1.2958727,36.8033705,Upperhill
Dr. Mbalu Damaris- Mirazi Limited,113035848,Specialist,General Surgeon,"Fortis Suites, Suite 809, Hospital road",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
